ID;Nom;Localisation
1;LumierMart;123 Rue de la Liberté Arc-en-Cielville
2;EcoMonster;456 Avenue des Songes Luneville
3;MoCouture;789 Chemin de la Féérie Flottemagie
4;SavSphere;101 Rue des Nuages Crystallineville
5;MobiliBulle;234 Allée des Mystères Ensorcelville
6;GalactiGear;567 Boulevard de l'Aurore Cielétincell
7;PlanePlantes;890 Promenade de l'Enchantement Brumeville
8;MystiMonster;210 Avenue des Lumières Sylveclaire
9;RobeoMonster;543 Rue des Étoiles Fleurétoile
10;ArteMonster;876 Chemin de la Magie Auroreville